"Brake.Trq_WB_FL","Brake.Trq_WB_FR","Brake.Trq_WB_RL","Brake.Trq_WB_RR","Car.Distance","Car.LongSlipFL","Car.LongSlipFR","Car.LongSlipRL","Car.LongSlipRR","Time"
"C1","C1","C1","C1","C1","C1","C1","C1","C1","C1"
"Nm","Nm","Nm","Nm","m","","","","","s"
0,0,0,0,0.585572098,0.03049056791,0.8300958276,0.0175651703,0.01816823334,0.571
0,0,0,0,0.6173358136,0.02980922163,0.7782492638,0.01751480624,0.01811040379,0.581
0,0,0,0,0.649923704,0.02992560156,0.7287364602,0.01754661649,0.01811521314,0.591
0,0,0,0,0.6833345198,0.02994920127,0.6812229753,0.01757146232,0.01812341809,0.601
0,0,0,0,0.7175675071,0.02992457338,0.6358103752,0.01757809892,0.01812916435,0.611
0,0,0,0,0.7526216928,0.0298639778,0.5924554467,0.01756968349,0.01812111214,0.621
0,0,0,0,0.7884957087,0.02996104397,0.5515794158,0.01743154228,0.01798272878,0.631
0,0,0,0,0.8251866523,0.02997597493,0.5133878589,0.01729899086,0.01784896292,0.641
0,0,0,0,0.8626906247,0.03005563281,0.4775601625,0.01717784815,0.01771650463,0.651
0,0,0,0,0.9010037169,0.03015935048,0.4439509809,0.01705634594,0.01758440398,0.661
0,0,0,0,0.9401223079,0.03026732057,0.4124132693,0.01693379879,0.01744973287,0.671
0,0,0,0,0.9800430636,0.03036815487,0.382809341,0.01681099646,0.01731247269,0.681
0,0,0,0,1.020762898,0.03045778535,0.3550155759,0.01668654941,0.01717389748,0.691
0,0,0,0,1.062278919,0.03053583205,0.3289072514,0.01656020805,0.01703409851,0.701
0,0,0,0,1.104588375,0.03060732409,0.304361105,0.01643240824,0.01689337939,0.711
0,0,0,0,1.147688621,0.03067613952,0.281265527,0.01630163006,0.01675191894,0.721
0,0,0,0,1.191577106,0.03074345738,0.2595189512,0.0161687769,0.01661147363,0.731
0,0,0,0,1.236251352,0.03081457131,0.2390364259,0.01603519917,0.01647270471,0.741
0,0,0,0,1.281708957,0.03089733236,0.2197367996,0.01590171084,0.0163343288,0.751
0,0,0,0,1.327947569,0.03098176792,0.2015523016,0.01576911658,0.01619686559,0.761
0,0,0,0,1.37496488,0.03106713295,0.1844227761,0.01563728042,0.01606012508,0.771
0,0,0,0,1.422758592,0.03115218878,0.1682937294,0.0155085735,0.01592398062,0.781
0,0,0,0,1.471326394,0.03125378117,0.1530947089,0.01538212225,0.01578909904,0.791
0,0,0,0,1.52066597,0.03139634058,0.1387419105,0.01525865309,0.01565666869,0.801
0,0,0,0,1.570775024,0.03157097101,0.1252107769,0.01513673179,0.01552548446,0.811
0,0,0,0,1.62165124,0.03172923252,0.11252895,0.0150150815,0.01539396867,0.821
0,0,0,0,1.673292196,0.03189241886,0.1006643772,0.01489399653,0.01526237186,0.831
0,0,0,0,1.725695416,0.03217961639,0.08934327215,0.01478834171,0.01514653675,0.841
0,0,0,0,1.778859175,0.0329714492,0.0772331208,0.01480950136,0.01515955012,0.851
0,0,0,0,1.832786085,0.03484527394,0.06297496706,0.014844683,0.01519726776,0.861
0,0,0,0,1.887481629,0.03581691906,0.05012242869,0.01475404296,0.01510065049,0.871
0,0,0,0,1.942946938,0.03571659327,0.04039126635,0.01443084329,0.01476627495,0.881
0,0,0,0,1.999173558,0.03324643523,0.03662354127,0.01401233766,0.01433174126,0.891
0,0,0,0,2.056144601,0.03135238588,0.03459282219,0.01372651942,0.0140311569,0.901
0,0,0,0,2.113844332,0.03018308431,0.03335848823,0.01355385687,0.01385216881,0.911
0,0,0,0,2.172261696,0.02951811068,0.03264952451,0.01346676983,0.01376322471,0.921
0,0,0,0,2.231390011,0.02922187932,0.03217428178,0.01343905739,0.0137360245,0.931
0,0,0,0,2.291225928,0.02905511484,0.03189397976,0.01344541926,0.01374658663,0.941
0,0,0,0,2.3517682,0.02892551385,0.03172105178,0.01346443035,0.01377269533,0.951
0,0,0,0,2.413016628,0.02878838405,0.03160606325,0.01348443422,0.01380102057,0.961
