Car.WheelSpd_FL,Car.WheelSpd_FR,Car.WheelSpd_RL,Car.WheelSpd_RR,Car.v,Time,V0,acceleration,Mean acc.,ABS Efficiency
C1,C1,C1,C1,C1,C1,,,,
rad/s,rad/s,rad/s,rad/s,m/s,s,m/s,m/s/s,m/s/s,-
9.569825172,13.43211651,5.915939808,5.917450428,1.826174736,0.421,33.19404221,8.98010730000001,-2.52389755123967,-0.315877988095656
9.578400612,13.77534199,6.192442417,6.194590092,1.915975809,0.431,1174,8.8684559,,
9.542137146,14.07356739,6.465026379,6.466025829,2.004660368,0.441,,8.7916136,,
9.499278069,14.36272717,6.735440731,6.73558569,2.092576504,0.451,0.9*V0,8.72769349999998,,
9.454411507,14.64588737,7.00437355,7.004459381,2.179853439,0.461,1496,8.67280960000003,,
9.409201622,14.92378712,7.273003101,7.271986008,2.266581535,0.471,,8.62543589999998,,
9.36473465,15.19695377,7.541044235,7.538469315,2.352835894,0.481,0.8 * V0,8.58457079999999,,
9.321613312,15.46558857,7.808337688,7.804479599,2.438681602,0.491,1511,8.80486970000001,,
9.64118576,16.09141731,8.094244003,8.088769913,2.526730299,0.501,,8.88140200000001,,
9.92568779,16.67923546,8.370005608,8.36505127,2.615544319,0.511,0.05 * V0,8.74824530000002,,
9.978108406,17.02781105,8.644677162,8.636242867,2.703026772,0.521,1858,8.68787759999998,,
9.956513405,17.29397202,8.917613983,8.907043457,2.789905548,0.531,,8.64918229999998,,
9.90544796,17.52274895,9.190296173,9.177143097,2.876397371,0.541,,8.62810610000002,,
9.820099831,17.73905563,9.465117455,9.448828697,2.962678432,0.551,,8.59322549999999,,
9.804625511,17.95064354,9.727241516,9.706886292,3.048610687,0.561,,8.24179649999999,,
10.09323692,17.8711338,9.987687111,9.969853401,3.131028652,0.571,,8.24573040000001,,
10.3379488,17.79873848,10.24567795,10.22847462,3.213485956,0.581,,8.23471549999999,,
10.59205341,17.72903824,10.50550842,10.48830223,3.295833111,0.591,,8.2260132,,
10.84683704,17.65981865,10.76562023,10.74874496,3.378093243,0.601,,8.21774,,
11.10295773,17.59267426,11.02542686,11.00950146,3.460270643,0.611,,8.2069159,,
11.36048412,17.52761269,11.28477001,11.26997089,3.542339802,0.621,,8.18841460000002,,
11.6210289,17.46976089,11.54227638,11.52814102,3.624223948,0.631,,8.15234180000002,,
11.88086605,17.42186356,11.79860973,11.78470135,3.705747366,0.641,,8.1122637,,
12.14111805,17.38196373,12.05341339,12.03960037,3.786870003,0.651,,8.07440279999998,,
12.40120316,17.35018921,12.30657959,12.29303932,3.867614031,0.661,,8.03954600000001,,
12.66087341,17.32642937,12.55823326,12.54532433,3.948009491,0.671,,8.00738329999997,,
12.91999817,17.31048775,12.80853748,12.79656696,4.028083324,0.681,,7.97748570000003,,
13.17853642,17.30221939,13.05764008,13.04666996,4.107858181,0.691,,7.94930459999996,,
13.43645,17.30133629,13.30566502,13.29570675,4.187351227,0.701,,7.92226789999999,,
13.69373989,17.30746651,13.55270576,13.54378414,4.266573906,0.711,,7.896328,,
13.95038605,17.32027817,13.7988472,13.79099941,4.345537186,0.721,,7.87105560000008,,
14.20632267,17.33944511,14.0442524,14.03744316,4.424247742,0.731,,7.84673689999993,,
14.46158695,17.36480141,14.28878117,14.28319836,4.502715111,0.741,,7.82289500000006,,
14.71625328,17.39614677,14.53245544,14.52830887,4.580944061,0.751,,7.79967309999998,,
14.97015285,17.43339157,14.77535248,14.77282715,4.658940792,0.761,,7.77664189999996,,
15.22326088,17.47647285,15.01752758,15.01677799,4.736707211,0.771,,7.75361060000002,,
15.47553158,17.52535248,15.25905323,15.26016998,4.814243317,0.781,,7.730484,,
15.72710037,17.579813,15.49989891,15.50306892,4.891548157,0.791,,7.70740510000003,,
15.9783268,17.63930511,15.74007511,15.74554253,4.968622208,0.801,,7.68442149999995,,
16.22920418,17.70394897,15.97961521,15.98753929,5.045466423,0.811,,7.66096120000004,,
16.47898865,17.77473259,16.21852303,16.22898674,5.122076035,0.821,,7.63607019999997,,
16.72789955,17.85177803,16.45674706,16.46985817,5.198436737,0.831,,7.61232380000001,,
16.97795486,17.93122864,16.69455528,16.71047592,5.274559975,0.841,,7.60612480000003,,
17.23624039,17.99200439,16.93434143,16.95341873,5.350621223,0.851,,7.6591015,,
17.51503944,18.01330566,17.17625999,17.19919968,5.427212238,0.861,,7.7012539,,
17.78129959,18.05351639,17.41804123,17.44414902,5.504224777,0.871,,7.68046379999996,,
18.02928734,18.14035606,17.65559006,17.68399048,5.581029415,0.881,,7.54251480000008,,
18.23146629,18.32046127,17.88747978,17.91624069,5.656454563,0.891,,7.36651419999994,,
18.43617439,18.52183533,18.11584854,18.14426613,5.730119705,0.901,,7.22923280000005,,
18.64733887,18.73112297,18.34147072,18.36976433,5.802412033,0.911,,7.13973049999996,,
18.86327553,18.94621468,18.5655098,18.59414673,5.873809338,0.921,,7.08990089999997,,
19.08366203,19.16370392,18.78895378,18.81833458,5.944708347,0.931,,7.06787110000002,,
19.30576515,19.38405037,19.01231003,19.04254723,6.015387058,0.941,,7.06162460000002,,
19.52873802,19.60635567,19.2360096,19.26689529,6.086003304,0.951,,7.06200589999995,,
19.7520237,19.83005524,19.4601059,19.49152565,6.156623363,0.961,,7.06400880000002,,
19.97562981,20.0544281,19.68450737,19.7163887,6.227263451,0.971,,7.06567759999999,,
20.19962692,20.27906227,19.90907478,19.94137383,6.297920227,0.981,,7.06615450000001,,
20.42395401,20.50387192,20.13371277,20.16639328,6.368581772,0.991,,7.06548690000002,,
20.64850998,20.72890091,20.35836792,20.39138603,6.439236641,1.001,,7.06391330000002,,
20.8732338,20.954216,20.58301163,20.6162796,6.509875774,1.011,,7.06181529999999,,
21.09810448,21.17983437,20.80763054,20.8410511,6.580493927,1.021,,7.05947880000002,,
21.32312202,21.40574265,21.03222466,21.0656929,6.651088715,1.031,,7.05714219999996,,
21.54831696,21.63190842,21.25678825,21.29021454,6.721660137,1.041,,7.05471040000001,,
21.77384567,21.85822487,21.48130989,21.51461029,6.792207241,1.051,,7.05246930000003,,
21.99956512,22.08473778,21.70580482,21.73890877,6.862731934,1.061,,7.05037109999998,,
22.22541428,22.3115139,21.93027115,21.96310997,6.933235645,1.071,,7.04855919999998,,
22.45141792,22.53845406,22.15472031,22.18722725,7.003721237,1.081,,7.04703330000003,,
22.6775589,22.76553726,22.37915421,22.41126442,7.07419157,1.091,,7.0457459,,
22.90382957,22.99273872,22.60357666,22.63523483,7.144649029,1.101,,7.04464910000002,,
23.13022423,23.22003174,22.82798958,22.85914421,7.21509552,1.111,,7.04369549999999,,
23.35673714,23.44739151,23.05238914,23.08300018,7.285532475,1.121,,7.04298009999995,,
23.58335686,23.67480469,23.27677917,23.30680656,7.355962276,1.131,,7.04226500000003,,
23.81007385,23.90225601,23.50115776,23.53057289,7.426384926,1.141,,7.04174040000005,,
24.03688049,24.12973595,23.72552299,23.75430107,7.49680233,1.151,,7.04126359999995,,
24.26376915,24.35723114,23.94987297,23.97799683,7.567214966,1.161,,7.04092980000004,,
24.49073601,24.58473206,24.17420578,24.20166779,7.637624264,1.171,,7.0405483,,
24.71777534,24.81223106,24.39852142,24.42531586,7.708029747,1.181,,7.04035759999995,,
24.94487953,25.03972244,24.62281609,24.64894485,7.778433323,1.191,,7.03992840000005,,
25.17162704,25.26676941,24.84680367,24.87226677,7.848832607,1.201,,7.03511240000001,,
25.39637566,25.49133492,25.07008934,25.09487724,7.919183731,1.211,,7.0221901,,
25.61945152,25.71367836,25.29253387,25.31664658,7.989405632,1.221,,7.00302119999989,,
25.84094238,25.93403816,25.51400566,25.53745461,8.059435844,1.231,,6.97870260000002,,
26.06049156,26.15192223,25.73430061,25.75709534,8.12922287,1.241,,6.94942469999997,,
26.2780304,26.36793327,25.95336151,25.97550964,8.198717117,1.251,,6.91680909999999,,
26.49380684,26.58195496,26.17115593,26.1926899,8.267885208,1.261,,6.88161850000011,,
26.70708847,26.79322243,26.38737297,26.40831184,8.336701393,1.271,,6.84156419999997,,
26.91794968,27.00180435,26.60197449,26.62240028,8.405117035,1.281,,6.79712289999994,,
27.12679672,27.20821953,26.81487656,26.83481598,8.473088264,1.291,,6.75048829999998,,
27.33358574,27.41240692,27.02617264,27.04566002,8.540593147,1.301,,6.70337680000017,,
27.53833771,27.61473274,27.23583603,27.25490379,8.607626915,1.311,,6.65559769999984,,
27.74105644,27.81562805,27.44386673,27.46252441,8.674182892,1.321,,6.60753250000017,,
27.94254494,28.01436043,27.65029907,27.66856956,8.740258217,1.331,,6.55994409999998,,
28.14217377,28.21150398,27.85515594,27.87307739,8.805857658,1.341,,6.51254659999996,,
28.33992195,28.40745354,28.0583992,28.0759964,8.870983124,1.351,,6.46553040000004,,
28.53616714,28.60165215,28.26008987,28.27739906,8.935638428,1.361,,6.41860960000003,,
28.73127365,28.79404449,28.46018028,28.47723961,8.999824524,1.371,,6.37159349999994,,
28.92447853,28.98551369,28.65867615,28.67550087,9.063540459,1.381,,6.32495879999997,,
29.11618233,29.17540932,28.85568047,28.87226677,9.126790047,1.391,,6.27889629999991,,
29.30651855,29.36396599,29.05127335,29.06761932,9.18957901,1.401,,6.2342644000001,,
29.49623489,29.55160522,29.24542427,29.26159859,9.251921654,1.411,,6.19125359999995,,
29.68460464,29.73858833,29.4382782,29.45431328,9.31383419,1.421,,6.15015030000006,,
29.87195396,29.92436981,29.62984657,29.64576721,9.375335693,1.431,,6.11076359999991,,
30.05815887,30.10911369,29.82022285,29.83599091,9.436443329,1.441,,6.07204440000011,,
30.24335289,30.29301834,30.00930214,30.02492905,9.497163773,1.451,,6.03322979999987,,
30.42760086,30.47600365,30.1971283,30.21261215,9.557496071,1.461,,5.99489210000002,,
30.61073494,30.65790176,30.38374519,30.39908409,9.617444992,1.471,,5.95722200000015,,
30.79277039,30.83869934,30.56915855,30.58435822,9.677017212,1.481,,5.91993329999987,,
30.97367096,31.0184803,30.75339508,30.76841736,9.736216545,1.491,,5.88245389999997,,
31.15343094,31.19753838,30.93637848,30.95123482,9.795041084,1.501,,5.84468840000003,,
31.33239174,31.37538338,31.11820793,31.13292503,9.853487968,1.511,,5.80797200000003,,
31.51032829,31.55239296,31.29895401,31.31350899,9.911567688,1.521,,5.77239990000003,,
31.68731117,31.72843933,31.47863388,31.49301529,9.969291687,1.531,,5.73778130000004,,
31.86322403,31.90377426,31.65722847,31.67141914,10.0266695,1.541,,5.70316299999991,,
32.03818512,32.07834625,31.83480644,31.84880257,10.08370113,1.551,,5.6694030000001,,
32.21255875,32.25198746,32.01139832,32.0252037,10.14039516,1.561,,5.63678799999998,,
32.3860054,32.42481232,32.18705368,32.20067596,10.19676304,1.571,,5.60512499999994,,
32.55857086,32.59675598,32.36177826,32.37520981,10.25281429,1.581,,5.57403599999997,,
32.7298851,32.76797867,32.53565216,32.54883957,10.30855465,1.591,,5.543327,,
32.9001236,32.93855286,32.70860672,32.72150421,10.36398792,1.601,,5.51261900000011,,
33.06958771,33.10814285,32.88066101,32.8932457,10.41911411,1.611,,5.48152999999996,,
33.23834229,33.27677917,33.05179596,33.06404114,10.47392941,1.621,,5.450439,,
33.40620804,33.44451523,33.22206116,33.23394012,10.5284338,1.631,,5.41973099999993,,
33.57328415,33.61111832,33.39146042,33.40298843,10.58263111,1.641,,5.38940400000012,,
33.73952103,33.77667999,33.55997086,33.57120132,10.63652515,1.651,,5.35917299999991,,
33.90483475,33.94150162,33.72757721,33.73853302,10.69011688,1.661,,5.3288460000001,,
34.06933594,34.10545731,33.89428711,33.90500259,10.74340534,1.671,,5.29832899999985,,
34.23305893,34.26858139,34.06013107,34.07061386,10.79638863,1.681,,5.26819200000013,,
34.39580154,34.43094254,34.22515106,34.23538589,10.84907055,1.691,,5.238342,,
34.55769348,34.59246826,34.38933182,34.3993187,10.90145397,1.701,,5.20877899999999,,
34.71876144,34.75325394,34.5526619,34.56240463,10.95354176,1.711,,5.17940499999998,,
34.87908554,34.91336441,34.7151947,34.72468948,11.00533581,1.721,,5.15060399999996,,
35.0386734,35.07271576,34.87693405,34.88619232,11.05684185,1.731,,5.12256600000001,,
35.19764328,35.23117447,35.03787613,35.04692459,11.10806751,1.741,,5.09491000000004,,
35.35590363,35.38875961,35.19804764,35.20690536,11.15901661,1.751,,5.06782500000007,,
35.51343536,35.54562378,35.35744476,35.36613083,11.20969486,1.761,,5.04102699999987,,
35.67023087,35.70181274,35.51606369,35.52460861,11.26010513,1.771,,5.014611,,
35.82627106,35.85738754,35.67389297,35.68231583,11.31025124,1.781,,4.98838399999997,,
35.98156357,36.01230621,35.83093262,35.8392601,11.36013508,1.791,,4.96263500000005,,
36.13597107,36.16656113,35.98723221,35.99547577,11.40976143,1.801,,4.93717199999999,,
36.28959656,36.32010269,36.14276886,36.15092087,11.45913315,1.811,,4.91209000000001,,
36.44254684,36.47291183,36.29753113,36.30558014,11.50825405,1.821,,4.88681800000013,,
36.59486008,36.6249733,36.45150375,36.4594574,11.55712223,1.831,,4.86183199999992,,
36.74644852,36.7763176,36.60469818,36.61255646,11.60574055,1.841,,4.83684499999999,,
36.89722061,36.92684174,36.75704575,36.76480484,11.654109,1.851,,4.81157299999992,,
37.04716873,37.07653427,36.90853882,36.91620636,11.70222473,1.861,,4.78591900000005,,
37.1962738,37.2254715,37.05917358,37.0667572,11.75008392,1.871,,4.76026600000008,,
37.34456253,37.37361526,37.20895386,37.21646118,11.79768658,1.881,,4.73422999999986,,
37.49154663,37.52044678,37.35746002,37.36488724,11.84502888,1.891,,4.70237700000009,,
37.63594055,37.6644783,37.50389862,37.51126862,11.89205265,1.901,,4.66003399999995,,
37.7779808,37.80607605,37.6483345,37.65563583,11.93865299,1.911,,4.61092000000001,,
37.9179039,37.94539642,37.79080963,37.79805374,11.98476219,1.921,,3.77864900000002,,
37.80861664,37.81814194,37.76672745,37.7682457,12.02254868,1.931,,2.80704499999995,,
37.89921188,37.91433334,37.8420372,37.84360504,12.05061913,1.941,,2.617549,,
