Car.WheelSpd_FL,Car.WheelSpd_FR,Car.WheelSpd_RL,Car.WheelSpd_RR,Car.ax,Car.v,Time,,,,
C1,C1,C1,C1,C1,C1,C1,,,,
rad/s,rad/s,rad/s,rad/s,m/s^2,m/s,s,,,Dist,Time
5.629394054,7.798224449,4.450401783,4.448550701,8.919683456,1.361746073,0.371,,Start,33.23353577,11.531
6.471986294,8.991471291,4.745262623,4.744859695,9.13034153,1.451948047,0.381,,End,0,18.35
7.341285229,10.20556068,5.043876648,5.046146393,9.302140236,1.5441221,0.391,,Diff,-33.23353577,6.819
8.26497364,11.46451855,5.3472085,5.352489948,9.465772629,1.637937069,0.401,,Acc,-4.873667073,
9.192417145,12.72246265,5.638847351,5.645150185,9.501111984,1.733345151,0.411,,,,
9.569825172,13.43211651,5.915939808,5.917450428,9.032420158,1.826174736,0.421,,,,
9.578400612,13.77534199,6.192442417,6.194590092,8.897006989,1.915975809,0.431,,,,
9.542137146,14.07356739,6.465026379,6.466025829,8.815150261,2.004660368,0.441,,,,
9.499278069,14.36272717,6.735440731,6.73558569,8.748473167,2.092576504,0.451,,,,
9.454411507,14.64588737,7.00437355,7.004459381,8.692069054,2.179853439,0.461,,,,
9.409201622,14.92378712,7.273003101,7.271986008,8.643821716,2.266581535,0.471,,,,
9.36473465,15.19695377,7.541044235,7.538469315,8.6019907,2.352835894,0.481,,,,
9.321613312,15.46558857,7.808337688,7.804479599,8.567559242,2.438681602,0.491,,,,
9.64118576,16.09141731,8.094244003,8.088769913,8.985244751,2.526730299,0.501,,,,
9.92568779,16.67923546,8.370005608,8.36505127,8.78524971,2.615544319,0.511,,,,
9.978108406,17.02781105,8.644677162,8.636242867,8.712173462,2.703026772,0.521,,,,
9.956513405,17.29397202,8.917613983,8.907043457,8.669045448,2.789905548,0.531,,,,
9.90544796,17.52274895,9.190296173,9.177143097,8.631937027,2.876397371,0.541,,,,
9.820099831,17.73905563,9.465117455,9.448828697,8.667275429,2.962678432,0.551,,,,
9.804625511,17.95064354,9.727241516,9.706886292,8.343384743,3.048610687,0.561,,,,
10.09323692,17.8711338,9.987687111,9.969853401,8.242811203,3.131028652,0.571,,,,
10.3379488,17.79873848,10.24567795,10.22847462,8.247069359,3.213485956,0.581,,,,
10.59205341,17.72903824,10.50550842,10.48830223,8.232417107,3.295833111,0.591,,,,
10.84683704,17.65981865,10.76562023,10.74874496,8.22406292,3.378093243,0.601,,,,
11.10295773,17.59267426,11.02542686,11.00950146,8.212656021,3.460270643,0.611,,,,
11.36048412,17.52761269,11.28477001,11.26997089,8.198081017,3.542339802,0.621,,,,
11.6210289,17.46976089,11.54227638,11.52814102,8.165466309,3.624223948,0.631,,,,
11.88086605,17.42186356,11.79860973,11.78470135,8.124605179,3.705747366,0.641,,,,
12.14111805,17.38196373,12.05341339,12.03960037,8.084353447,3.786870003,0.651,,,,
12.40120316,17.35018921,12.30657959,12.29303932,8.047215462,3.867614031,0.661,,,,
12.66087341,17.32642937,12.55823326,12.54532433,8.013068199,3.948009491,0.671,,,,
12.91999817,17.31048775,12.80853748,12.79656696,7.981678009,4.028083324,0.681,,,,
13.17853642,17.30221939,13.05764008,13.04666996,7.952342987,4.107858181,0.691,,,,
13.43645,17.30133629,13.30566502,13.29570675,7.924507618,4.187351227,0.701,,,,
13.69373989,17.30746651,13.55270576,13.54378414,7.897910595,4.266573906,0.711,,,,
13.95038605,17.32027817,13.7988472,13.79099941,7.872272491,4.345537186,0.721,,,,
14.20632267,17.33944511,14.0442524,14.03744316,7.847632408,4.424247742,0.731,,,,
14.46158695,17.36480141,14.28878117,14.28319836,7.823867321,4.502715111,0.741,,,,
14.71625328,17.39614677,14.53245544,14.52830887,7.800680161,4.580944061,0.751,,,,
14.97015285,17.43339157,14.77535248,14.77282715,7.778032303,4.658940792,0.761,,,,
15.22326088,17.47647285,15.01752758,15.01677799,7.755572319,4.736707211,0.771,,,,
15.47553158,17.52535248,15.25905323,15.26016998,7.733051777,4.814243317,0.781,,,,
15.72710037,17.579813,15.49989891,15.50306892,7.71049118,4.891548157,0.791,,,,
15.9783268,17.63930511,15.74007511,15.74554253,7.688257217,4.968622208,0.801,,,,
16.22920418,17.70394897,15.97961521,15.98753929,7.665832996,5.045466423,0.811,,,,
16.47898865,17.77473259,16.21852303,16.22898674,7.642334938,5.122076035,0.821,,,,
16.72789955,17.85177803,16.45674706,16.46985817,7.617589951,5.198436737,0.831,,,,
16.97795486,17.93122864,16.69455528,16.71047592,7.598025322,5.274559975,0.841,,,,
17.23624039,17.99200439,16.93434143,16.95341873,7.627152443,5.350621223,0.851,,,,
17.51503944,18.01330566,17.17625999,17.19919968,7.690335274,5.427212238,0.861,,,,
17.78129959,18.05351639,17.41804123,17.44414902,7.704380035,5.504224777,0.871,,,,
18.02928734,18.14035606,17.65559006,17.68399048,7.615495682,5.581029415,0.881,,,,
18.23146629,18.32046127,17.88747978,17.91624069,7.435492992,5.656454563,0.891,,,,
18.43617439,18.52183533,18.11584854,18.14426613,7.277904987,5.730119705,0.901,,,,
18.64733887,18.73112297,18.34147072,18.36976433,7.170015812,5.802412033,0.911,,,,
18.86327553,18.94621468,18.5655098,18.59414673,7.105757236,5.873809338,0.921,,,,
19.08366203,19.16370392,18.78895378,18.81833458,7.074560642,5.944708347,0.931,,,,
19.30576515,19.38405037,19.01231003,19.04254723,7.063663483,6.015387058,0.941,,,,
19.52873802,19.60635567,19.2360096,19.26689529,7.062446594,6.086003304,0.951,,,,
19.7520237,19.83005524,19.4601059,19.49152565,7.064183235,6.156623363,0.961,,,,
19.97562981,20.0544281,19.68450737,19.7163887,7.066057682,6.227263451,0.971,,,,
20.19962692,20.27906227,19.90907478,19.94137383,7.066934109,6.297920227,0.981,,,,
20.42395401,20.50387192,20.13371277,20.16639328,7.066553116,6.368581772,0.991,,,,
20.64850998,20.72890091,20.35836792,20.39138603,7.06515646,6.439236641,1.001,,,,
20.8732338,20.954216,20.58301163,20.6162796,7.063094139,6.509875774,1.011,,,,
21.09810448,21.17983437,20.80763054,20.8410511,7.060700893,6.580493927,1.021,,,,
21.32312202,21.40574265,21.03222466,21.0656929,7.058223248,6.651088715,1.031,,,,
21.54831696,21.63190842,21.25678825,21.29021454,7.055787086,6.721660137,1.041,,,,
21.77384567,21.85822487,21.48130989,21.51461029,7.053329945,6.792207241,1.051,,,,
21.99956512,22.08473778,21.70580482,21.73890877,7.051133156,6.862731934,1.061,,,,
22.22541428,22.3115139,21.93027115,21.96310997,7.049126625,6.933235645,1.071,,,,
22.45141792,22.53845406,22.15472031,22.18722725,7.047430992,7.003721237,1.081,,,,
22.6775589,22.76553726,22.37915421,22.41126442,7.046016693,7.07419157,1.091,,,,
22.90382957,22.99273872,22.60357666,22.63523483,7.044829369,7.144649029,1.101,,,,
23.13022423,23.22003174,22.82798958,22.85914421,7.043828011,7.21509552,1.111,,,,
23.35673714,23.44739151,23.05238914,23.08300018,7.04297924,7.285532475,1.121,,,,
23.58335686,23.67480469,23.27677917,23.30680656,7.042259693,7.355962276,1.131,,,,
23.81007385,23.90225601,23.50115776,23.53057289,7.041652679,7.426384926,1.141,,,,
24.03688049,24.12973595,23.72552299,23.75430107,7.041142941,7.49680233,1.151,,,,
24.26376915,24.35723114,23.94987297,23.97799683,7.040719509,7.567214966,1.161,,,,
24.49073601,24.58473206,24.17420578,24.20166779,7.040372372,7.637624264,1.171,,,,
24.71777534,24.81223106,24.39852142,24.42531586,7.040093422,7.708029747,1.181,,,,
24.94487953,25.03972244,24.62281609,24.64894485,7.039874554,7.778433323,1.191,,,,
25.17162704,25.26676941,24.84680367,24.87226677,7.038078308,7.848832607,1.201,,,,
25.39637566,25.49133492,25.07008934,25.09487724,7.028370857,7.919183731,1.211,,,,
25.61945152,25.71367836,25.29253387,25.31664658,7.011425018,7.989405632,1.221,,,,
25.84094238,25.93403816,25.51400566,25.53745461,6.989398003,8.059435844,1.231,,,,
26.06049156,26.15192223,25.73430061,25.75709534,6.962007523,8.12922287,1.241,,,,
26.2780304,26.36793327,25.95336151,25.97550964,6.930497646,8.198717117,1.251,,,,
26.49380684,26.58195496,26.17115593,26.1926899,6.896789074,8.267885208,1.261,,,,
26.70708847,26.79322243,26.38737297,26.40831184,6.858822823,8.336701393,1.271,,,,
26.91794968,27.00180435,26.60197449,26.62240028,6.816159725,8.405117035,1.281,,,,
27.12679672,27.20821953,26.81487656,26.83481598,6.770009041,8.473088264,1.291,,,,
27.33358574,27.41240692,27.02617264,27.04566002,6.723013401,8.540593147,1.301,,,,
27.53833771,27.61473274,27.23583603,27.25490379,6.675570011,8.607626915,1.311,,,,
27.74105644,27.81562805,27.44386673,27.46252441,6.627569675,8.674182892,1.321,,,,
27.94254494,28.01436043,27.65029907,27.66856956,6.579660416,8.740258217,1.331,,,,
28.14217377,28.21150398,27.85515594,27.87307739,6.532291412,8.805857658,1.341,,,,
28.33992195,28.40745354,28.0583992,28.0759964,6.484929085,8.870983124,1.351,,,,
28.53616714,28.60165215,28.26008987,28.27739906,6.438046932,8.935638428,1.361,,,,
28.73127365,28.79404449,28.46018028,28.47723961,6.391111851,8.999824524,1.371,,,,
28.92447853,28.98551369,28.65867615,28.67550087,6.344053268,9.063540459,1.381,,,,
29.11618233,29.17540932,28.85568047,28.87226677,6.29762888,9.126790047,1.391,,,,
29.30651855,29.36396599,29.05127335,29.06761932,6.252283096,9.18957901,1.401,,,,
29.49623489,29.55160522,29.24542427,29.26159859,6.208367825,9.251921654,1.411,,,,
29.68460464,29.73858833,29.4382782,29.45431328,6.166518688,9.31383419,1.421,,,,
29.87195396,29.92436981,29.62984657,29.64576721,6.126443863,9.375335693,1.431,,,,
30.05815887,30.10911369,29.82022285,29.83599091,6.087574005,9.436443329,1.441,,,,
30.24335289,30.29301834,30.00930214,30.02492905,6.048733711,9.497163773,1.451,,,,
30.42760086,30.47600365,30.1971283,30.21261215,6.010042191,9.557496071,1.461,,,,
30.61073494,30.65790176,30.38374519,30.39908409,5.972130775,9.617444992,1.471,,,,
30.79277039,30.83869934,30.56915855,30.58435822,5.934734821,9.677017212,1.481,,,,
30.97367096,31.0184803,30.75339508,30.76841736,5.897439957,9.736216545,1.491,,,,
31.15343094,31.19753838,30.93637848,30.95123482,5.859667301,9.795041084,1.501,,,,
31.33239174,31.37538338,31.11820793,31.13292503,5.822362423,9.853487968,1.511,,,,
31.51032829,31.55239296,31.29895401,31.31350899,5.786417007,9.911567688,1.521,,,,
31.68731117,31.72843933,31.47863388,31.49301529,5.751568317,9.969291687,1.531,,,,
31.86322403,31.90377426,31.65722847,31.67141914,5.717007637,10.0266695,1.541,,,,
32.03818512,32.07834625,31.83480644,31.84880257,5.682884693,10.08370113,1.551,,,,
32.21255875,32.25198746,32.01139832,32.0252037,5.649822712,10.14039516,1.561,,,,
32.3860054,32.42481232,32.18705368,32.20067596,5.617866039,10.19676304,1.571,,,,
32.55857086,32.59675598,32.36177826,32.37520981,5.586757183,10.25281429,1.581,,,,
32.7298851,32.76797867,32.53565216,32.54883957,5.556176662,10.30855465,1.591,,,,
32.9001236,32.93855286,32.70860672,32.72150421,5.525535107,10.36398792,1.601,,,,
33.06958771,33.10814285,32.88066101,32.8932457,5.494724751,10.41911411,1.611,,,,
33.23834229,33.27677917,33.05179596,33.06404114,5.463721752,10.47392941,1.621,,,,
33.40620804,33.44451523,33.22206116,33.23394012,5.432995319,10.5284338,1.631,,,,
33.57328415,33.61111832,33.39146042,33.40298843,5.402685642,10.58263111,1.641,,,,
33.73952103,33.77667999,33.55997086,33.57120132,5.372608185,10.63652515,1.651,,,,
33.90483475,33.94150162,33.72757721,33.73853302,5.342342854,10.69011688,1.661,,,,
34.06933594,34.10545731,33.89428711,33.90500259,5.311996937,10.74340534,1.671,,,,
34.23305893,34.26858139,34.06013107,34.07061386,5.281836987,10.79638863,1.681,,,,
34.39580154,34.43094254,34.22515106,34.23538589,5.252012253,10.84907055,1.691,,,,
