Brake.Trq_WB_FL,Brake.Trq_WB_FR,Brake.Trq_WB_RL,Brake.Trq_WB_RR,Car.Distance,Car.LongSlipFL,Car.LongSlipFR,Car.LongSlipRL,Car.LongSlipRR,Time,,,
C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,,,
Nm,Nm,Nm,Nm,m,,,,,s,,,
0,0,0,0,2.861536187,0.027809484,0.030811427,0.013541666,0.013918391,1.031,,,
0,0,0,0,2.928435237,0.027683048,0.030720718,0.013542817,0.013927175,1.041,,,
0,0,0,0,2.996039868,0.027572917,0.030635539,0.013543066,0.013934531,1.051,,,
0,0,0,0,3.064349845,0.027473049,0.030558795,0.013543424,0.0139416,1.061,,,
0,0,0,0,3.133364953,0.027380887,0.030494215,0.013543479,0.01394805,1.071,,,
0,0,0,0,3.203084995,0.027298057,0.030437702,0.013543747,0.013953954,1.081,,,
0,0,0,0,3.273509807,0.027223829,0.030388452,0.013544102,0.013959152,1.091,,,
0,0,0,0,3.344639247,0.027157938,0.030345576,0.013544537,0.013963614,1.101,,,
0,0,0,0,3.416473199,0.027100265,0.030308161,0.013545059,0.013967338,1.111,,,
0,0,0,0,3.489011564,0.027050683,0.030275466,0.013545687,0.013970353,1.121,,,
0,0,0,0,3.562254259,0.027008794,0.030247102,0.013546454,0.013972715,1.131,,,
0,0,0,0,3.636201211,0.026974121,0.030222848,0.013547392,0.013974491,1.141,,,
0,0,0,0,3.710852362,0.026946312,0.030202409,0.013548532,0.013975757,1.151,,,
0,0,0,0,3.786207659,0.026925096,0.030185448,0.013549902,0.013976598,1.161,,,
0,0,0,0,3.862267063,0.026910184,0.030171666,0.013551529,0.013977095,1.171,,,
0,0,0,0,3.939030538,0.026901212,0.030160856,0.013553425,0.013977334,1.181,,,
0,0,0,0,4.016498056,0.026897756,0.030152885,0.013555601,0.013977394,1.191,,,
0,0,0,0,4.094669594,0.02688298,0.030130513,0.01354687,0.013965831,1.201,,,
0,0,0,0,4.173544927,0.026799016,0.030020062,0.013518503,0.013933348,1.211,,,
0,0,0,0,4.25312312,0.026673749,0.029847378,0.013477148,0.013887102,1.221,,,
0,0,0,0,4.333402519,0.026521172,0.029633498,0.013426572,0.013831302,1.231,,,
0,0,0,0,4.414380928,0.026336074,0.029367683,0.01336602,0.013764974,1.241,,,
0,0,0,0,4.496055632,0.026123328,0.029082177,0.013299846,0.013692665,1.251,,,
0,0,0,0,4.578423503,0.025897235,0.028776594,0.013230942,0.013617857,1.261,,,
0,0,0,0,4.661481154,0.025633536,0.028425239,0.013150902,0.013531568,1.271,,,
0,0,0,0,4.745224801,0.025341544,0.02803796,0.013064383,0.013440941,1.281,,,
